"language"	"langcode"	"family"	"location"	"core inventory"	"marginal inventory"	"reference"
"Dutch"	"DUTC"	"INDO-EUROPEAN (Germanic)"	"Netherlands, Belgium, Suriname"	"p,t,k,b,d,i,y,u,f,s,x,ɪ,ʏ,v,z,ɣ,ɦ,e,ø,o,m,n,ŋ,ɛ,œ,ɔ,l,a,ɑ,r,ʋ,j,"	"ɡ,"	"Booij, Geert (1995) The Phonology of Dutch. Oxford: Clarendon Press."
"Dutch (most varieties)"	"DUTM"	"INDO-EUROPEAN (Germanic)"	"Netherlands, Belgium, Suriname"	"p,t,k,b,d,i,y,u,f,s,x,ɪ,ʏ,v,z,ɣ,ɦ,e,ø,o,m,n,ŋ,ɛ,œ,ɔ,l,a,ɑ,r,ʋ,j,"	"ɡ,"	"Booij, Geert (1995) The Phonology of Dutch. Oxford: Clarendon Press."
"Dutch (southern and Belgium)"	"DUTS"	"INDO-EUROPEAN (Germanic)"	"Belgium, Netherlands"	"p,t,k,b,d,i,y,u,f,s,x,ɪ,ʏ,v,z,ɣ,ɦ,e,ø,o,m,n,ŋ,ɛ,œ,ɔ,l,a,ɑ,r,ʋ,j,"	"ɡ,"	"Booij, Geert (1995) The Phonology of Dutch. Oxford: Clarendon Press."
"Dyirbal"	"DYIR"	"AUSTRALIAN (Pama-Nyungan)"	"Australia"	"b,d,d̻,ɡ,m,n,n̻,ŋ,i,u,l,ɾ,ɽ,a,w,j,"		"Dixon, R.M.W. (1972) The Dyirbal Language of North Queensland. Cambridge: Cambridge University Press."
"Dàgáárè"	"DAGR"	"NIGER-CONGO (Gur)"	"Ghana"	"p,t,tʃ,k,k͡p,ʔ,b,d,dʒ,ɡ,ɡ͡b,i,u,f,s,h,ɪ,ʊ,v,z,ɦ,e,o,m,n,ɲ,ŋ,ŋ͡m,ɛ,ɔ,ʔm,a,l,ʔl,r,j,w,"		"Bodomo, Adams B. (2000) Dàgáárè. Muenchen: Lincom Europa."
"Edo"	"EDOX"	"NIGER-CONGO (Edoid)"	"Nigeria"	"p,t,k,k͡p,b,d,ɡ,ɡ͡b,i,ĩ,u,ũ,f,s,x,h,e,o,v,z,ɣ,ɛ,ɛ̃,ɔ,ɔ̃,m,a,ã,r,r̥,l,ɺ,ʋ,j,w,"		"Elugbe, Ben Ohiomamhe (1989) Comparative Edoid: Phonology and Lexicon. Port: University of Port Harcourt Press."
"Efik"	"EFIK"	"NIGER-CONGO"	"Nigeria"	"p,t,k,k͡p,b,d,i,u,f,s,h,e,o,m,n,ɲ,ŋ,ɔ,a,r,w,j,"		"Ward, Ida C. (1933) The Phonetic and Tonal Structure of Efik. Cambridge: W. Heffer & Sons Ltd."
"Egene (Engenni)"	"EGEN"	"NIGER-CONGO (Edoid)"	"Nigeria"	"p,t,k,k͡p,b,d,ɡ,ɡ͡b,i,u,ɓ,ɗ,ɪ,ʊ,f,s,e,o,v,z,ɛ,ɔ,m,n,a,r,l,j,w,j̃,w̃,"		"Elugbe, Ben Ohiomamhe (1989) Comparative Edoid: Phonology and Lexicon. Port: University of Port Harcourt Press."
"Ehueun"	"EHUE"	"NIGER-CONGO (Edoid)"	"Nigeria"	"t,k,k͡p,b,d,ɡ,ɡ͡b,i,ĩ,u,ũ,ɸ,f,s,h,e,o,β,v,z,ɛ,ɛ̃,ɔ,ɔ̃,r,a,ã,r̥,l,j,w,"		"Elugbe, Ben Ohiomamhe (1989) Comparative Edoid: Phonology and Lexicon. Port: University of Port Harcourt Press."
"Ejagham"	"EJAG"	"NIGER-CONGO (Bantu)"	"Nigeria and Cameroon"	"p,t,tʃ,k,k͡p,b,d,dʒ,ɡ,ɡ͡b,i,y,u,f,s,ɛ,ə,ɔ,m,n,ɲ,ŋ,a,ɾ,w,j,"		"Watters, John Robert (1981) A Phonology and Morphology of Ejagham—with Notes on Dialect Variation. Ann Arbor: UMI."
"Ejagham (Eyumojok-Ndebaya sub-dialect)"	"EJAE"	"NIGER-CONGO (Bantu)"	"Cameroon"	"p,t,tʃ,k,k͡p,b,d,dʒ,ɡ,ɡ͡b,i,y,u,f,s,ɛ,ə,ɔ,m,n,ɲ,ŋ,a,ɾ,w,j,"		"Watters, John Robert (1981) A Phonology and Morphology of Ejagham—with Notes on Dialect Variation. Ann Arbor: UMI."
"Ekigusii"	"EKIG"	"NIGER-CONGO (Bantu)"	"Kenya"	"t,cç,k,s,i,u,β,ɣ,e,o,m,n,ɲ,ŋ,ɛ,ɔ,ɾ,a,w,j,"		"Cammenga, Jelle (2002) Phonology and Morphology of Ekigusii. Köln: Rüdiger Köppe Verlag."
"Emhalhe (Somorika)"	"EMHA"	"NIGER-CONGO (Edoid)"	"Nigeria"	"p,t,c,k,k͡p,b,d,ɟ,ɡ,ɡ͡b,i,u,t̂,k̂͡p̂,ʊ,b̂,d̂,e,o,f,θ,s,ʃ,h,ɛ,ɔ,v,z,a,v̤,z̤,ʒ̤,h̃,m,n,ɲ,ŋʷ,m̂,n̂,r,ɾ,l,j,w,ɺ,"		"Elugbe, Ben Ohiomamhe (1989) Comparative Edoid: Phonology and Lexicon. Port: University of Port Harcourt Press."
"English"	"ENGL"	"INDO-EUROPEAN (Germanic)"	"India, USA, UK, Canada, Australia, South Africa, New Zealand, Ireland, Tanzania, Ghana, Nigeria, Uganda, Zimbabwe, Singapore, etc."	"p,t,tʃ,k,b,d,dʒ,ɡ,aɪ,aʊ,f,θ,s,ʃ,h,iː,uː,v,ð,z,ʒ,ɪ,ʊ,m,n,ŋ,eɪ,ə,ɜː,oʊ,l,ɛ,ʌ,ɔː,ɹ,æ,ɑː,w,j,"		"Jensen, John T. (1993) English Phonology. Philadelphia: John Benjamins Publishing Company.\nMcMahon, April (2002) An Introduction to English Phonology. Oxford: Oxford University Press."
"English (American)"	"ENGA"	"INDO-EUROPEAN (Germanic)"	"USA"	"p,t,tʃ,k,b,d,dʒ,ɡ,i,ɪ,ə,ʊ,u,f,θ,s,ʃ,h,e,ɛ,ʌ,ɔ,o,v,ð,z,ʒ,æ,a,m,n,ŋ,l,aʊ,aɪ,ɹ,w,j,"		"Jensen, John T. (1993) English Phonology. Philadelphia: John Benjamins Publishing Company."
"Epie"	"EPIE"	"NIGER-CONGO (Edoid)"	"Nigeria"	"p,t,k,k͡p,b,d,ɡ,ɡ͡b,i,ĩ,u,ũ,ɓ,ɗ,ɪ,ɪ̃,ʊ,ʊ̃,f,s,e,ẽ,o,õ,v,z,ɣ,ɛ,ɛ̃,ɔ,ɔ̃,m,a,ã,r,l,j,w,"		"Elugbe, Ben Ohiomamhe (1989) Comparative Edoid: Phonology and Lexicon. Port: University of Port Harcourt Press."
"Eruwa"	"ERUW"	"NIGER-CONGO (Edoid)"	"Nigeria"	"p,t,k,k͡p,b,d,ɡ,ɡ͡b,i,ĩ,u,ũ,f,s,x,ɪ,ɪ̃,ʊ,ʊ̃,v,z,ɣ,e,ẽ,o,õ,m,ɛ,ɛ̃,ɔ,ɔ̃,l,a,ã,ʋ,ɹ,j,w,"		"Elugbe, Ben Ohiomamhe (1989) Comparative Edoid: Phonology and Lexicon. Port: University of Port Harcourt Press."
"Esse Ejja"	"ESSE"	"TACANAN"	"Bolivia and Peru"	"p,t,tʃ,k,kʷ,ʔ,ɓ,ɗ,i,o,s,ʃ,x,h,e,a,m,n,ɲ,w,j,"		"Key, Mary Ritchie (1968) Comparative Tacanan Phonology. The Hague: Mouton."
"Estonian"	"ESTO"	"URALIC (Finno-Ugric)"	"Estonia"	"p,t,tʲ,k,f,s,sʲ,ç,h,i,y,u,m,n,nʲ,ŋ,e,ø,ɤ,o,l,lʲ,æ,a,r,ʋ,j,"		"Harms, Robert T. (1962) Estonian Grammar. Bloomington/The Hague: Mouton & Co./Indiana University."
"Evenki"	"EVEN"	"ALTAIC"	"China, Mongolia, and Russia"	"p,t,tʃ,k,ɪː,ʊː,b,d,dʒ,ɡ,ɪ,ɯ,ʊ,m,n,ɲ,jeː,ɛː,oː,s,x,h,je,ɛ,o,v,ʒ,aː,l,a,r,"		"Nedjalkov, Igor (1997) Evenki. New York: Routledge."
"Ewe"	"EWEX"	"NIGER-CONGO (Kwa)"	"Ghana and Togo"	"p,t,k,k͡p,b,d,ɖ,ɡ,ɡ͡b,i,u,ts,e,o,dz,ɛ,ɔ,ɸ,f,s,x,a,β,v,z,ɦ,m,n,ɲ,ŋ,l,w,j,ɰ,"		"Ansre, Gilbert (1961) The Tonal Structure of Ewe. Hartford: Hartford Studies in Linguistics."
"Faranah-Maninka"	"FARA"	"NIGER-CONGO"	"Guinea"	"p,t,k,b,d,ɡ,ɡ͡ɓ,i,u,f,s,h,e,o,m,n,ɲ,ɛ,ɔ,r,a,l,w,j,"		"Spears, Richard Alan (1965) The Structure of Faranah-Maninka. Ann Arbor: UMI."
"Faroese"	"FARO"	"INDO-EUROPEAN (Germanic)"	"Denmark (Faroe Islands)"	"p,t̪,tʃ,k,iː,ʉ,uː,b,d̪,dʒ,ɡ,ɪ,ʏ,ʊ,ʊʏ̯,f,s,ʃ,h,eː,øː,o,oː,m,n̪,ɛ,œ,ɔ,ɔi̯,l̪,a,aː,ai̯,r,ʋ,j,"		"Lockwood, W. B. (1955) An Introduction to Modern Faroese. København: Ejnar Munskgaard."
"Faroese (in some districts)"	"FARS"	"INDO-EUROPEAN (Germanic)"	"Denmark (Faroe Islands)"	"p,t̪,tʃ,k,iː,ʉ,uː,b,d̪,dʒ,ɡ,ɪ,ʏ,ʊ,ʊʏ̯,f,s,ʃ,h,eː,øː,o,oː,m,n̪,ɛ,œ,ɔ,ɔi̯,l̪,a,aː,ai̯,r,ʋ,j,"		"Lockwood, W. B. (1955) An Introduction to Modern Faroese. København: Ejnar Munskgaard."
"FeʼFeʼ-Bamileke"	"FEFE"	"NIGER-CONGO (Bantu)"	"Cameroon"	"t,c,k,ʔ,i,iː,ɯ,ɯː,u,uː,b,d,ɟ,ɡ,e,eː,ɤː,o,f,s,h,ɔː,v,z,a,aː,ɑ,ɑː,m,n,ŋ,"		"Hyman, Larry Michael (1972) A Phonological Study of Fe’Fe’-Bamileke. Ann Arbor: UMI."
"Fijian, Boumaa"	"BOUM"	"AUSTRONESIAN"	"Fiji"	"p,t̪,k,ʔ,b,ⁿd̪,ɡ,i,u,f,s,e,o,β,z̪,a,m,n̪,ŋ,r,ⁿr,l,j,w,"	"dʒ,"	"Dixon, R.M.W. (1988) A Grammar of Boumaa Fijian. Chicago: The University of Chicago Press."
"Finnish"	"FINN"	"URALIC (Finno-Ugric)"	"Finland, Sweden, Russia"	"p,t̪,k,d,i,y,u,s,h,e,œ,o,m,n,ŋ,æ,ɑ,l,r,ʋ,j,"		"Sulkala, Helena, and Merja Karjalainen (1992) Finnish. New York: Routledge."
"Finnish (some dialects)"	"FINS"	"URALIC (Finno-Ugric)"	"Finland"	"p,t̪,k,d,i,y,u,s,h,e,œ,o,m,n,ŋ,æ,ɑ,l,r,ʋ,j,"		"Sulkala, Helena, and Merja Karjalainen (1992) Finnish. New York: Routledge."
"French"	"FREN"	"INDO-EUROPEAN (Italic)"	"France, Canada, Belgium, Switzerland, Haiti, Algeria"	"p,t̪,k,b,d̪,ɡ,i,y,u,f,s̪,ʃ,e,ø,o,v,z̪,ʒ,ɛ,œ,ə,a,ɔ,m,n̪,ɲ,ẽ,œ̃,ã,ɔ̃,ʀ,l̪,ɥ,j,w,"		"Valdman, Albert (1976) Introduction to French Phonology and Morphology. Rowley, Mass.: Newbury House Publishers, Inc.\nCasagrande, Jean (1984) The Sound System of French. Washington, D.C.: Georgetown University Press."
"Fulfulde (a dialect of Mali)"	"FULF"	"NIGER-CONGO"	"Mali"	"p,t,tʃ,k,ʔ,b,d,dʒ,ɡ,i,u,b,ⁿd,ⁿɟ,ɡ,e,o,ɓ,ɗ,ʄ,a,f,s,h,m,n,ɲ,ŋ,r,l,w,j,"		"McIntosh, Mary (1984) Fulfulde Syntax and Verbal Morphology. Boston: KPI."
"Fyem (Fyam)"	"FYEM"	"NIGER-CONGO"	"Nigeria"	"p,pʲ,pʷ,t,tʲ,k,kʲ,kʷ,b,bʲ,bʷ,ⁿd,ⁿdʲ,ɡ,ɡʲ,ɡʷ,i,u,ɓ,ɗ,e,o,ts,a,dz,f,fʲ,fʷ,s,sʲ,sʷ,ʃ,h,hʲ,hʷ,v,z,ʒ,m,mʷ,n,nʲ,ɲ,ŋ,r,rʲ,rʷ,l,lʲ,lʷ,w,j,"		"Nettle, Daniel (1998) The Fyem Language of Northern Nigeria. Muenchen: Lincom Europa."
"Gade"	"GADE"	"NIGER-CONGO"	"Nigeria"	"p,t,c,k,k͡p,b,d,ɡ,ɡ͡b,i,u,b,ⁿd,ⁿɟ,ɡ,ɪ,ʊ,f,s,e,o,v,z,ɛ,ɔ,m,n,a,r,w,j,"		"Pieter, Sterk Jan (1977) Elements of Gade Grammar. Ann Arbor: UMI."
"Gadsup"	"GADS"	"TRANS-NEW GUINEA"	"Papua New Guinea"	"p,t,k,ʔ,b,d,i,u,m,n,e,ə,o,j,æ,"		"Frantz, Chester, and Marjorie Frantz (1973) Gadsup Phoneme and Toneme Units. In McKaughan, Howard (ed.) (1973) The Languages of the Eastern Family of the East New Guinea Highland Stock. Seattle: University of Washington Press."
"Ganda"	"GAND"	"NIGER-CONGO (Bantu)"	"Uganda"	"p,t,c,k,b,d,ɟ,ɡ,i,u,f,s,e,o,v,z,a,m,n,ɲ,ŋ,l,w,j,"		"Cole, Desmond T. (1967) Some Features of Ganda Linguistic Structure. Johannesburg: Witwatersrand University Press."
"Ganggulida"	"GANG"	"AUSTRALIAN (Pama-Nyungan)"	"Australia"	"b,d̪,d̪ʲ,ɖ,ɡ,m,n̪,n̪ʲ,ɳ,ŋ,i,u,r,a,l,w,ɻ,j,"		"Holmer, Nils M. (1988) Notes on Some Queensland Languages. Canberra: Pacific Linguistics."
"Garawa (Bundjil/Wandji)"	"GARA"	"AUSTRALIAN"	"Australia"	"b,d̪,d̪ʲ,ɖ,ɡ,m,n̪,n̪ʲ,ɳ,ŋ,i,u,r,a,l,w,ɻ,j,"		"Holmer, Nils M. (1988) Notes on Some Queensland Languages. Canberra: Pacific Linguistics."
"Garo"	"GARO"	"SINO-TIBETAN"	"India and Bangladesh"	"p,t,k,ʔ,b,d,ɡ,ts,i,u,dz,e,o,s,h,a,m,n,ŋ,r,w,"		"Burling, Robbins (1961) A Garo Grammar. Poona: Deccan College Postgraduate and Research Institute."
"Garwa"	"GARW"	"AUSTRALIAN(?)"	"Australia"	"b,d̪,d̪ʲ,ɖ,ɡ,m,n̪,n̪ʲ,ɳ,ŋ,i,u,r,a,l,w,ɻ,j,"		"Holmer, Nils M. (1988) Notes on Some Queensland Languages. Canberra: Pacific Linguistics."
"Gã"	"GAXX"	"NIGER-CONGO (Kwa)"	"Ghana and Togo"	"p,t,k,b,d,ɡ,f,s,ʃ,h,i,u,v,e,o,m,n,ŋ,ɛ,ɔ,l,a,r,w,ɥ,j,"		"Zimmermann, J. (1858) A Grammatical Sketch and Vocabulary of the Akra- or Gã-Language. Stuttgart: Gregg International Publishers Limited."
"Georgian"	"GEOR"	"SOUTH CAUCASIAN"	"Georgia, Turkey"	"pʰ,tʰ,kʰ,pʼ,tʼ,kʼ,qʼ,i,u,b,d,ɡ,e,o,ts,tʃ,a,tsʼ,tʃʼ,dʒ,s,ʃ,x,h,v,z,ʒ,ʒ̥,ɣ,m,n,l,r,"		"Cherchi, Marcello (1999) Georgian. Muenchen: Lincom Europa."
"German"	"GERM"	"INDO-EUROPEAN (Germanic)"	"Germany, Austria, Kazakhstan, Poland, Hungary, Italy, Paraguay"	"p,t,k,b,d,ɡ,i,y,u,pf,ts,ɪ,ʏ,ʊ,f,s,ʃ,x,h,e,ø,o,v,z,ʁ,ɛ,œ,ə,ɔ,m,n,ŋ,æ,a,ɑ,l,j,ai,ɔi,au,"		"Fox, Anthony (1990) The Structure of German. Oxford: Clarendon Press."
"German, Michigan"	"MIGE"	"INDO-EUROPEAN (Germanic)"	"USA"	"k,ai,iː,ĩː,uː,b,d,ɡ,au,ɪ,ʊ,f,s,ʃ,x,h,eː,ẽː,oː,õː,m,n,ŋ,e̞,ə,o̞,l,æː,r,aː,ãː,ɑː,w,j,a,ɑ,"	"p,t,"	"Born, Renate (1994) Michigan German In Frankenmuth: Variation And Change In An East Franconian Dialect. Columbia, SC: Camden House."
"Ghotuo"	"GHOT"	"NIGER-CONGO (Edoid)"	"Nigeria"	"p,t,k,k͡p,b,d,ɡ,ɡ͡b,i,u,f,s,x,h,e,o,v,z,ɣ,ɛ,ɔ,h̃,a,m,n,m̂,ɾ̃,r,ʋ,l,j,w,ɺ,ĵ,"		"Elugbe, Ben Ohiomamhe (1989) Comparative Edoid: Phonology and Lexicon. Port: University of Port Harcourt Press."
"Gikuyu"	"GIKU"	"NIGER-CONGO (Bantu"	"Kenya"	"t,k,β,ɡ,i,u,θ,ç,h,ĩ,ũ,m,n,ɲ,ŋ,e,o,w,ɹ,j,a,"		"Mugane, John M. (1997) Paradigmatic Grammar of Gĩkũyũ. Stanford: CSLI Publications."
"Giziga"	"GIZI"	"AFRO-ASIATIC (Chadic)"	"Cameroon"	"p,t,k,kʷ,b,d,ɡ,ɡʷ,ɓ,ɗ,i,u,b,ⁿd,ɡ,e,o,ts,ə,dz,a,ⁿdz,f,s,v,z,ⁿz,ɬ,ɮ,m,n,ŋ,l,r,w,j,h,ʔ,"		"Lukas, J. (1970) Studien zur Sprache der Gisiga. Hamburg.\nRossing, Melvin Olaf (1978) Mafa-Mada. Ann Arbor: UMI."
"Godoberi"	"GODO"	"NORTH CAUCASIAN"	"Russia"	"p,t̪,t̪̀,ts,ts̀,tɬ,tʃ,tʃ̀,k,kʷ,k̀,k̀ʷ,q,qʷ,ʕ,ʔ,t̪ʼ,tsʼ,tɬʼ,tʃʼ,kʼ,kʼʷ,qʼ,qʼʷ,iː,uː,b,d̪,ɡ,ɡʷ,i,ĩ,u,ũ,s,s̀,ɬ,ɬ̀,ʃ,ʃ̀,x,xʷ,x̀,x̀ʷ,χ,χʷ,χ̀,χ̀ʷ,ħ,h,eː,oː,z,ʒ,ʁ,ʁʷ,e,o,m,n,aː,l,a,ã,r,w,j,"		"Kibrik, Alexander E. (1996) Godoberi. Muenchen: Lincom Europa."
"Gondi, Adilabad"	"ADIL"	"DRAVIDIAN"	"India"	"pʰ,t̪ʰ,ʈʰ,tʃʰ,kʰ,p,t̪,ʈ,tʃ,k,bʰ,d̪ʰ,ɖʰ,dʒʰ,ɡʰ,b,d̪,ɖ,dʒ,ɡ,i,iː,u,uː,m,n̪,ŋ,e,eː,o,oː,s,a,aː,ɽ,r,l,v,j,h,"		"Subrahmanyam, P. S. (1968) A Descriptive Grammar of Gondi. Annamalainagar: Annamalai University."
"Gondi, Koya"	"KOYA"	"DRAVIDIAN"	"India"	"p,t̪,ʈ,tʃ,k,t̪ʼ,kʼ,b,d̪,ɖ,dʒ,ɡ,i,iː,u,uː,m,n,ɳ,ŋ,e,eː,o,oː,s̪,a,aː,r,l,v,j,"		"Subrahmanyam, P. S. (1968) A Descriptive Grammar of Gondi. Annamalainagar: Annamalai University."
"Gooniyandi"	"GOON"	"AUSTRALIAN"	"Australia"	"b,t̪,d,ɖ,ɟ,ɡ,m,n̪,n,ɳ,ɲ,ŋ,i,ɯ,l,ɭ,ʎ,a,ɑ,ɾ,w,ɻ,j,"		"McGregor, William (1990) A Functional Grammar of Gooniyandi. Philadelphia: John Benjamins Publishing Company."
"Grebo"	"GREB"	"NIGER-CONGO"	"Liberia"	"p,t,c,k,k͡p,b,d,ɟ,ɡ,ɡ͡b,i,ĩ,u,ũ,f,s,h,e,ẽ,o,õ,m̥,n̥,emf,omf,m,n,ɲ,ŋ,ŋ͡m,ɛ,ɛ̃,ɔ,ɔ̃,ŋʷ,a,ã,l̥,ʍ,l,j,w,"		"Innes, Gordon (1966) An Introduction to Grebo. London: Luzac & Company, Ltd."
"Greek"	"GREE"	"INDO-EUROPEAN"	"Greece, Cyprus"	"p,t,k,i,u,f,θ,s,x,e,o,v,ð,z,ɣ,a,m,n,r,l,"	"ts,b,d,dz,ɡ,"	"Joseph, Brian D., and Irene Philippaki-Warburton (1987) Modern Greek. Wolfeboro, NH: Croom Helm."
"Guatuso (Maléku Jaíka)"	"GUAT"	"CHIBCHAN"	"Costa Rica"	"p,t,tʃ,k,dʒ,i,u,ɸ,s,ɬ,x,e,o,m,n,ŋ,a,r,ɾ,l,"		"Constenla, Adolfo (1981) Comparative Chibchan Phonology. Ann Arbor: UMI."
"Gugu-Bujun"	"GUGU"	"AUSTRALIAN(?)"	"Australia"	"b,d,dʲ,ɖ,ɡ,m,n,nʲ,ŋ,i,u,r,a,l,w,ɻ,j,"		"Holmer, Nils M. (1988) Notes on Some Queensland Languages. Canberra: Pacific Linguistics."
"Gujarati"	"GUJA"	"INDO-EUROPEAN (Indo-Aryan)"	"India, Tanzania, Uganda, Kenya"	"p,t̪,ʈ,tʃ,k,b,d̪,ɖ,dʒ,ɡ,i,u,s̪,ʃ,e,ə,o,m,n̪,ɳ,N?,æ,a,ɑ,l,ɭ,ɾ,w,j,h,"		"Cardona, George (1965) A Gujarati Reference Grammar. Philadelphia: The University of Pennsylvania Press."
"Gunin/Kwini"	"GUNI"	"AUSTRALIAN (Pama-Nyungan)"	"Australia"	"b,d,ɖ,ɟ,ɡ,m,n,ɳ,ɲ,ŋ,i,ɨ,u,l,ɭ,ʎ,e,o,r,a,w,ɻ,j,"		"McGregor, William B. (1993) Gunin/Kwini. München: Lincom Europa."
"Gwari (Gbagyi)"	"GWAR"	"NIGER-CONGO"	"Nigeria"	"p,t,tʃ,k,k͡p,b,d,dʒ,ɡ,ɡ͡b,i,u,ɓ,e,o,f,s,ʃ,a,v,z,ʒ,m,n,ɲ,ŋʷ,l,j,ɥ,w,"		"Hyman, Larry M., and Daniel J. Magaji (1970) Essentials of Gwari Grammar. Ibadan: Ibadan University Press."
"Haitian Creole"	"HAIT"	"CREOLE"	"Haiti and Dominican Republic"	"p,t,k,b,d,ɡ,ĩ,ũ,i̞,u̞,f,s,ʃ,ẽ,õ,e,o,v,z,ʒ,ə̃,ɛ,ɔ,m,n,a,l,ɹ,j̃,w,j,"		"Hall, Robert A. Jr. (1953) Haitian Creole: Grammar – Texts – Vocabulary. Memoirs of the American Folklore Society, Vol. 43. Philadelphia: American Folklore Society."
"Hakka (Kejia)"	"HAKK"	"SINO-TIBETAN"	"China, Taiwan, Malaysia, Indonesia, etc."	"pʰ,tʰ,tsʰ,kʰ,p,t,ts,k,i,y,u,f,s,h,e,o,m,n,ŋ,a,l,w,j,"		"Hashimoto, Mantaro J  (1973) The Hakka dialect; a linguistic study of its phonology, syntax, and lexicon. Cambridge University Press.\nChung, Raung-Fu (1989) Aspects of Kejia phonology. UIUC dissertation. UMI."
"Halkomelem, Chilliwack"	"HALK"	"SALISHAN"	"Canada"	"p,t,kʷ,q,qʷ,pʼ,tʼ,kʼʷ,qʼ,qʼʷ,ʔ,i,u,tʃ,ɛ,ə,o,tθʼ,tɬʼ,tʃʼ,a,θ,ɬ,ʃ,ç,xʷ,χ,χʷ,h,m,l,w,j,"	"k,kʼ,"	"Galloway, Brent D. (1977) A Grammar of Chilliwack Halkomelem. Ann Arbor: UMI."
"Hatam"	"HATA"	"WEST PAPUAN"	"Indonesia (Irian Jaya)"	"p,t,c,k,b,d,ɟ,ɡ,pː,tː,kː,i,u,s,h,ɛ,a,ɔ,m,n,ɲ,ŋ,mː,nː,ɾ,w,j,"		"Reesink, Ger P. (1999) A grammar of Hatam, Bird’s Head Peninsula, Irian Jaya. Canberra: Pacific Linguistics."
"Hausa"	"HAUS"	"AFRO-ASIATIC (Chadic)"	"Nigeria, Niger, Sudan"	"t,tʃ,k,kʷ,kʲ,b,d,dʒ,ɡ,ɡʷ,ɡʲ,ai,au,ɓ,ɗ,ɠ,ɠʷ,ɠʲ,ʔ,f,fʲ,s,ʃ,h,iː,uː,z,i,u,sʼ,eː,oː,m,n,e,o,l,aː,ɾ,a,r,ʔj,j,w,"		"Jaggar, Philip J. (2001) Philadelphia: John Benjamins Publishing Company."
"Hebrew"	"HEBR"	"AFRO-ASIATIC (Semitic)"	"Israel"	"p,t̪,ts,tʃ,k,ʔ,b,d̪,dʒ,ɡ,i,u,f,s̪,ʃ,x,ħ,h,e,o,v,z̪,ʒ,ʁ,ʕ,a,m,n̪,l,j,"		"Bolozky, Shmuel (1972) Categorial Limitations on Rules in the Phonology of Modern Hebrew. Ann Arbor: UMI."
"Higi (Kamwe)"	"HIGI"	"AFRO-ASIATIC (Chadic)"	"Nigeria"	"pʰ,tʰ,kʰ,b,d,ɡ,i,ɨ,ɓ,ɗ,ʔ,e,tsʰ,ɛ,dz,a,f,s,x,v,z,ɣ,v̌,ɬ,ɮ,m,n,ŋ,l,r,w,j,"		"Mohrlang, Roger (1972) Studies in Nigerian Languages No. 2. Higi Phonology. Zaria: Institute for Linguistics."
"Hiligaynon"	"HILI"	"AUSTRONESIAN"	"Philippines"	"p,t,k,ʔ,b,d,ɡ,i,u,s,h,m,n,ŋ,a,ɾ,l,w,j,"	"e,o,"	"Spitz, Walter L. (2001) Hiligaynon / Ilonggo. Muenchen: Lincom Europa"
"Hindi"	"HIND"	"INDO-EUROPEAN (Indo-Aryan)"	"India, South Africa, Nepal, and Uganda"	"pʰ,t̪ʰ,ʈʰ,tʃʰ,kʰ,p,t̪,ʈ,tʃ,k,iː,ĩː,uː,ũː,bʰ,d̪ʰ,ɖʰ,dʒʰ,ɡʰ,i,ĩ,u,ũ,b,d̪,ɖ,dʒ,ɡ,eː,ẽː,oː,õː,f,s,ʃ,x,h,e,ẽ,o,õ,z,ɣ,aː,ãː,mʰ,n̪ʰ,ɛ,ɛ̃,a,ã,ɔ,ɔ̃,m,n̪,ɳ,l̪ʰ,l̪,ɽʰ,r,ɽ,ʋ,j,"		"Shukla, Shaligram (2000) Hindi Phonology. Muenchen: Lincom Europa."
"Hixkaryana"	"HIXK"	"CARIB"	"Brazil"	"p,t,tʃ,k,b,d,d̻,ɯ,u,f,s,ʃ,h,e,ɔ,m,n,ɲ,æ,ɾ,ɽ,w,j,"		"Derbyshire, Desmond C. (1985) Hixkaryana and Linguistic Typology. Arlington: The Summer Institute of Linguistics and the University of Texas at Arlington."
"Hungarian"	"HUNG"	"URALIC (Finno-Ugric)"	"Hungary, Romania, Slovakia, Yugoslavia, Ukraine, etc."	"p,t,ts,c,cç,k,b,d,dz,ɟ,ɟʝ,ɡ,i,y,u,f,s,ç,h,e,ø,o,v,z,ʝ,æ,a,m,n,ɲ,r,l,j,"		"Abondolo, D. M. (1988) Hungarian Inflectional Morphology. Budapest: Akadémiai Kiadó."
"Hurza/Ndreme/Vame (Pelasla)"	"HURZ"	"AFRO-ASIATIC (Chadic)"	"Cameroon"	"p,t,c,k,kʷ,b,d,ɟ,ɡ,ɡʷ,ɓ,ɗ,i,u,b,ⁿd,ɡ,e,o,ts,ə,dz,a,ⁿdz,f,s,ɕ,v,z,ʑ,ɬ,ɮ,m,n,ŋ,l,r,w,j,h,hʷ,"		"Rossing, Melvin Olaf (1978) Mafa-Mada. Ann Arbor: UMI."
